@relation SpeciesRelation

@attribute bin_0 numeric
@attribute bin_1 numeric
@attribute bin_2 numeric
@attribute bin_3 numeric
@attribute bin_4 numeric
@attribute bin_5 numeric
@attribute bin_6 numeric
@attribute bin_7 numeric
@attribute bin_8 numeric
@attribute bin_9 numeric
@attribute species_class {'African Wildcat','Aria Chicken','Basking Shark','Black Rohu','Blacktip shark','Blue shark','Bull shark',Catla,Cheetah,'Common Carp','Domestic Cat',Fish,'Freshwater Shark','Grass Carp','Hammerhead Shark',Jaguar,'Lemon Shark',Leopard,Lion,'Long-whiskered Catfish','Lucifer Chicken','Mako Shark','Mirror Carp',Mrigal,'Nile Tilapia',Nurse,'Popcorn Chicken',Puma,'Puma Concolor',Rohu,'Sand Cat','Sand tiger Shark',Shark,'Silver Carp','Snow leopard','Striped Catfish','Thresher Shark',Tiger,Whale,'White Shark','Whitetip Shark'}

@data
0.56,0.29,0.02,0.02,0.01,0.02,0.01,0.04,0.02,0.01,'Whitetip Shark'
0.88,0.02,0.02,0.02,0.01,0.03,0.01,0,0.01,0,'Whitetip Shark'
0.83,0.03,0.02,0.03,0.04,0.02,0,0.02,0.01,0,'Whitetip Shark'
0.18,0.34,0.23,0.15,0.05,0.04,0,0.01,0,0,'Whitetip Shark'
0.83,0.08,0.01,0.03,0.01,0,0.02,0.02,0,0,'Whitetip Shark'
0.87,0.05,0.04,0.04,0,0,0,0,0,0,'Whitetip Shark'
0.84,0.06,0.01,0.01,0.01,0.03,0.03,0.01,0,0,'Whitetip Shark'
0.81,0.01,0.05,0.06,0.05,0.01,0,0.01,0,0,'Whitetip Shark'
0.86,0.04,0.02,0.02,0.02,0,0.01,0.02,0.01,0,'Whitetip Shark'
0.48,0.36,0.06,0.04,0.03,0.01,0.01,0.01,0,0,'Whitetip Shark'
0.78,0.04,0.02,0.04,0.06,0.03,0.02,0,0.01,0,'Whitetip Shark'
0.77,0.04,0.01,0,0.04,0.03,0.07,0.03,0.01,0,'Whitetip Shark'
0.69,0.1,0.01,0.01,0.01,0.05,0.04,0.03,0.05,0.01,'Whitetip Shark'
0.3,0.3,0.17,0.08,0.03,0.04,0.02,0.03,0.02,0.01,Whale
